path,has_src,has_dist,last_src_mod,last_dist_mod,dist_size,src_size,age_delta_days
routes/scheduleRuleRoutes.js,1,1,2026-01-19,2026-03-31,7162,4348,71.4
routes/bankTransactionRoutes.js,1,1,2026-01-19,2026-03-31,10090,4484,71.4
routes/rmaRoutes.js,1,1,2026-01-19,2026-03-31,1451,977,71.4
routes/uploadRoutes.js,0,1,,2026-03-31,5455,,
routes/roleRoutes.js,1,1,2026-01-19,2026-03-31,16198,7949,71.4
routes/objectRoutes.js,0,1,,2026-03-31,4635,,
routes/leadScoringRoutes.js,1,1,2026-01-19,2026-03-31,1204,716,71.4
routes/registrationRequestsRoutes.js,1,1,2026-01-19,2026-03-31,1866,1200,71.4
routes/tierRoutes.js,1,1,2026-01-19,2026-03-31,1324,415,71.4
routes/syncRoutes.js,1,1,2026-01-19,2026-03-31,7020,4936,71.4
routes/clientRoutes.js,1,1,2026-01-19,2026-03-31,1182,704,71.4
routes/supplierRoutes.js,1,1,2026-01-19,2026-03-31,1781,1126,71.4
routes/contractRoutes.js,1,1,2026-01-19,2026-03-31,1243,719,71.4
routes/alertConfigRoutes.js,1,1,2026-01-19,2026-03-31,10085,5311,71.4
routes/systemRoutes.js,1,1,2026-01-19,2026-03-31,592,359,71.4
routes/v1Router.js,0,1,,2026-04-19,10714,,
routes/vehicleRoutes.js,1,1,2026-01-19,2026-03-31,4176,1473,71.4
routes/ticketMacrosRoutes.js,0,1,,2026-03-31,11382,,
routes/manualNotificationRoutes.js,1,1,2026-01-19,2026-03-31,1821,1726,71.4
routes/integrationCredentialsRoutes.js,1,1,2026-01-19,2026-03-31,1550,1382,71.4
routes/ecoDrivingRoutes.js,1,1,2026-01-19,2026-03-31,6167,4428,71.4
routes/catalogRoutes.js,1,1,2026-01-19,2026-04-15,14744,4171,86.3
routes/stockMovementRoutes.js,1,1,2026-01-19,2026-03-31,1303,795,71.4
routes/csvImportRoutes.js,1,1,2026-01-19,2026-03-31,1288,969,71.4
routes/quoteRoutes.js,1,1,2026-01-19,2026-03-31,7292,3537,71.4
routes/resellerStatsRoutes.js,0,1,,2026-03-31,2130,,
routes/paymentRoutes.js,1,1,2026-01-19,2026-03-31,6623,3757,71.4
routes/auditRoutes.js,1,1,2026-01-19,2026-03-31,496,386,71.4
routes/portalRoutes.js,0,1,,2026-04-13,24944,,
routes/discoveredDeviceRoutes.js,0,1,,2026-03-31,1023,,
routes/messageTemplatesRoutes.js,0,1,,2026-03-31,3003,,
routes/tenantRoutes.js,1,1,2026-01-19,2026-03-31,1814,1582,71.4
routes/branchRoutes.js,1,1,2026-01-19,2026-03-31,7095,3777,71.4
routes/towProvidersRoutes.js,0,1,,2026-04-18,5836,,
routes/creditNoteRoutes.js,1,1,2026-01-19,2026-03-31,1778,1246,71.4
routes/techSettingsRoutes.js,0,1,,2026-03-31,39266,,
routes/apiKeyRoutes.js,1,1,2026-01-19,2026-03-31,777,660,71.4
routes/emailToTicketRoutes.js,1,1,2026-01-19,2026-03-31,4595,2893,71.4
routes/vehicleExtrasRoutes.js,0,1,,2026-04-19,9506,,
routes/deviceRoutes.js,1,1,2026-01-19,2026-04-03,2859,1029,74.3
routes/salesPipelineRoutes.js,1,1,2026-01-19,2026-03-31,1628,1136,71.4
routes/interventionRoutes.js,1,1,2026-01-19,2026-03-03,1145,709,42.9
routes/trashRoutes.js,0,1,,2026-03-31,749,,
routes/driverRoutes.js,1,1,2026-01-19,2026-03-31,5563,3799,71.4
routes/paymentReminderRoutes.js,1,1,2026-01-19,2026-03-31,1158,799,71.4
routes/subscriptionRoutes.js,1,1,2026-01-19,2026-04-16,28705,6315,86.9
routes/settingsRoutes.js,1,1,2026-01-19,2026-03-31,5024,1473,71.4
routes/fleetRoutes.js,1,1,2026-01-19,2026-04-19,12983,1981,90.6
routes/adminFeatureRoutes.js,1,1,2026-01-19,2026-03-31,2796,2171,71.4
routes/financeRoutes.js,1,1,2026-01-19,2026-03-31,4559,1982,71.4
routes/authRoutes.js,1,1,2026-01-19,2026-04-06,1188,434,77.7
routes/webhookDeliveryRoutes.js,1,1,2026-01-19,2026-03-31,1046,927,71.4
routes/alertRoutes.js,1,1,2026-01-19,2026-03-31,1035,332,71.4
routes/jobAdminRoutes.js,0,1,,2026-03-31,5640,,
routes/pushNotificationRoutes.js,1,1,2026-01-19,2026-03-31,1128,822,71.4
routes/groupRoutes.js,1,1,2026-01-19,2026-03-31,5792,4029,71.4
routes/analyticsRoutes.js,1,1,2026-01-19,2026-04-19,6748,1209,90.5
routes/poiRoutes.js,1,1,2026-01-19,2026-03-31,8081,4226,71.4
routes/maintenanceRuleRoutes.js,1,1,2026-01-19,2026-03-31,7665,4394,71.4
routes/leadRoutes.js,1,1,2026-01-19,2026-03-31,1250,713,71.4
routes/sendRoutes.js,1,1,2026-01-19,2026-03-31,1902,1876,71.4
routes/recoveryRoutes.js,1,1,2026-01-19,2026-03-31,2570,2056,71.4
routes/crmActivityRoutes.js,1,1,2026-01-19,2026-03-31,1390,778,71.4
routes/meRoutes.js,0,1,,2026-04-19,3752,,
routes/ticketRoutes.js,1,1,2026-01-19,2026-03-31,2697,1335,71.4
routes/commandRoutes.js,1,1,2026-01-19,2026-03-31,6558,4006,71.4
routes/techRoutes.js,1,1,2026-01-19,2026-03-31,3483,1890,71.4
routes/crmRoutes.js,1,1,2026-01-19,2026-03-31,2401,1279,71.4
routes/accountingRoutes.js,1,1,2026-01-19,2026-03-31,7807,4392,71.4
routes/supportSettingsRoutes.js,1,1,2026-01-19,2026-03-31,29381,22684,71.4
routes/numberingRoutes.js,1,1,2026-01-19,2026-03-31,1787,1733,71.4
routes/monitoringRoutes.js,1,1,2026-01-19,2026-04-16,8473,1495,87.4
routes/supplierInvoiceRoutes.js,1,1,2026-01-19,2026-03-31,13051,4577,71.4
routes/aiRoutes.js,0,1,,2026-03-31,2898,,
routes/userRoutes.js,1,1,2026-01-19,2026-04-19,2359,776,90.6
config/database.js,1,1,2026-01-19,2026-04-19,4560,1460,90.6
config/aiKnowledgeBase.js,0,1,,2026-03-31,14896,,
tests/load-test-gps.js,1,1,2026-01-19,2026-03-31,16737,14364,71.4
tests/monitor-gps-pipeline.js,1,1,2026-01-19,2026-03-31,10299,8313,71.4
controllers/interventionController.js,1,1,2026-01-19,2026-04-06,58742,18889,77.3
controllers/deviceCommandController.js,1,1,2026-01-19,2026-03-31,3246,1941,71.4
controllers/vehicleReportController.js,1,1,2026-01-19,2026-03-31,14234,6242,71.4
controllers/rmaController.js,1,1,2026-01-19,2026-03-31,12473,13615,71.4
